epoch,dice_coef,loss,val_dice_coef,val_loss
0,0.0035529224788425147,0.9964470752963314,0.006441190838813782,0.9935587985174996
1,0.006149298442458665,0.9938506991774948,0.007522632234862873,0.9924773573875427
2,0.006816294130489782,0.9931837165797198,0.00893151999584266,0.9910684738840375
3,0.03477228512228639,0.9652277187064842,0.14137084569249833,0.8586291585649762
4,0.09561357040096212,0.9043864254598264,0.19406027027538844,0.8059397254671369
5,0.1029629877044095,0.8970370160208808,0.10396932597671237,0.896030672958919
6,0.14774519867367214,0.8522548101566456,0.1744020368371691,0.8255979674203056
7,0.2708605632737831,0.7291394295515837,0.09675895529133934,0.9032410383224487
8,0.2068742968969875,0.7931257000675908,0.28874378544943674,0.7112562145505633
9,0.3533845289989754,0.6466154610669171,0.4369774716241019,0.5630225454057965
10,0.403501331254288,0.5964986659862377,0.4895672968455723,0.5104327116693769
11,0.3816506465276082,0.6183493578875506,0.16004397400787898,0.8399560025760106
12,0.30912656033480607,0.6908734374576144,0.3465265759399959,0.6534734283174787
13,0.5053972988216965,0.49460270007451373,0.4832861678940909,0.5167138235909599
14,0.5616541107495626,0.43834588925043744,0.5317841427666801,0.46821586574826923
15,0.563463999165429,0.4365360030421504,0.3514742297785623,0.6485257829938617
16,0.5213602085908254,0.47863979251296435,0.5172475746699742,0.4827524423599243
17,0.5570914932975063,0.44290850780628344,0.5154196194240025,0.48458038909094675
18,0.6149644454320272,0.38503555015281393,0.5560788937977382,0.4439211062022618
19,0.5669148122822797,0.4330851877177203,0.5002432891300747,0.49975671086992535
20,0.5794523866088302,0.4205476200139081,0.5404494064194816,0.4595505935805185
21,0.5643404501455801,0.43565954985441985,0.5564347079821995,0.4435652920178005
22,0.6226217835037796,0.3773782120810615,0.5738353133201599,0.4261646866798401
23,0.6276699856475547,0.3723300099372864,0.5670658605439323,0.4329341394560678
24,0.6517251387790397,0.34827486232474997,0.5449097411973136,0.45509025028773714
25,0.6057533930849146,0.39424660470750594,0.5776479414531163,0.42235205854688374
26,0.6468450802343862,0.3531549197656137,0.5622120329311916,0.4377879670688084
27,0.6269748564119693,0.37302514138045134,0.5800385815756661,0.4199614184243338
28,0.6369636787308587,0.3630363234767207,0.5966952698571342,0.4033047301428659
29,0.6566963924301995,0.34330360536222104,0.6043913194111415,0.39560868058885845
30,0.6722404206240619,0.3277595815835176,0.5893898691449847,0.41061013085501535
31,0.6718958020210266,0.3281041979789734,0.605654878275735,0.39434512172426495
32,0.6932192047437032,0.30678079304871736,0.5891122221946716,0.41088777780532837
33,0.6965613740461843,0.3034386259538156,0.6102347203663417,0.38976527963365826
34,0.6936828030480279,0.3063171991595515,0.6137329680579049,0.38626703194209505
35,0.6717770728800032,0.3282229282237865,0.6114037462643215,0.3885962537356785
36,0.700208220216963,0.29979177757545755,0.5601824607167926,0.43981753076825825
37,0.6742493112881979,0.32575068650422273,0.5626045976366315,0.43739540236336844
38,0.6608815789222717,0.3391184232853077,0.532263023512704,0.46773697648729595
39,0.6723221717057405,0.3276778260866801,0.6225301623344421,0.37746983766555786
40,0.7102140651808845,0.2897859348191155,0.6030682069914681,0.3969317930085318
41,0.6912341316541036,0.3087658683458964,0.6312058312552316,0.3687941687447684
42,0.696234898434745,0.3037651026690448,0.6096821938242231,0.3903178061757769
43,0.7041243469273603,0.29587565307263974,0.617412941796439,0.382587058203561
44,0.705010798242357,0.294989201757643,0.6463757838521685,0.3536242161478315
45,0.7438088589244418,0.2561911410755581,0.6190694059644427,0.38093059403555735
46,0.7217066751586066,0.27829332484139335,0.6373631528445652,0.36263684715543476
47,0.7477072653947053,0.25229273460529467,0.6372691988945007,0.36273080110549927
48,0.7739697562323676,0.22603024376763237,0.6541975055422101,0.3458024944577898
